Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Dominical,2019-08-11,2649,BABD,15,14,9289,8715
Intermedio,2019-08-14,4334,ADDC,12,6,2620,9183
Extraordinaria,2019-08-18,5309,BCCC,3,6,98327,61748
Intermedio,2019-08-21,7708,ABDB,1,11,9210,6640
Dominical,2019-08-25,0129,BCCD,24,11,3157,7165
Intermedio,2019-08-28,6003,DCCD,7,7,4463,8946
Zodiaco,2019-08-30,9562,CBDB,2,2,0088,0078
Intermedio,2019-07-03,0433,DCAB,1,4,8194,1041
Dominical,2019-07-07,0611,DBDC,2,6,6218,1008
Intermedio,2019-07-10,3640,BCBB,8,2,8424,6719
Dominical,2019-07-14,6311,CBDD,18,7,3561,2291
Intermedio,2019-07-17,2149,CADA,12,9,6279,6451
Dominical,2019-07-21,0768,ACCB,10,13,6752,8565
Intermedio,2019-07-24,9878,BBCA,19,10,3801,3239
Dominical,2019-07-28,8896,BCCC,15,11,9944,0066
Intermedio,2019-07-31,3827,DAAB,8,15,5496,2342
